model_name,brand,cpu_name,cpu_cores,cpu_threads,cpu_base_clock_ghz,cpu_boost_clock_ghz,cpu_single_core_score,cpu_multi_core_score,cpu_tdp_watts,gpu_name,gpu_vram_gb,gpu_is_dedicated,gpu_supports_cuda,gpu_benchmark_score,ram_gb,storage_gb,storage_type,display_size_inch,display_resolution,refresh_rate_hz,battery_whr,battery_life_hours,weight_kg,price_inr,release_year
Swift 7,HP,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 2050,4,True,True,9800,16,1024,SSD,17.3,1920x1080,144,95.2,9.1,2.35,186000.0,2024
ThinkPad 4X,HP,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,NVIDIA GeForce RTX 4060,8,True,True,19500,32,1024,HDD,16.0,3840x2160,60,79.7,6.2,1.6,249100.0,2024
Ultra 2,Asus,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 4080,12,True,True,29500,64,512,HDD,14.0,1920x1200,90,54.7,4.4,2.29,286000.0,2024
Predator 14 Plus,HP,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,AMD Radeon Graphics (Integrated),0,False,False,3400,32,1024,HDD,14.0,2560x1440,60,49.7,7.1,1.88,130800.0,2024
Vivobook 2,Lenovo,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 3050,6,True,True,12500,16,256,Hybrid,17.3,1366x768,144,58.5,8.0,2.35,173500.0,2024
Gram 11S,Lenovo,Intel Core i5-1240P,12,16,1.7,4.4,8200,17800,28,Intel UHD Graphics,0,False,False,2100,16,1024,SSD,17.3,1920x1080,90,75.1,7.0,1.94,125700.0,2024
Pro 15,Asus,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,NVIDIA GeForce RTX 4050,6,True,True,15800,16,512,HDD,14.0,3840x2160,144,57.7,6.5,2.9,211800.0,2022
Gram 1S,HP,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 2050,4,True,True,9800,16,512,SSD,13.3,1920x1080,60,56.8,5.9,2.49,167700.0,2023
Nitro 16S,HP,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,NVIDIA GeForce RTX 3050,6,True,True,12500,8,256,Hybrid,14.0,1920x1200,60,75.7,6.7,1.81,163800.0,2025
Swift 1,Dell,Intel Core i5-1240P,12,16,1.7,4.4,8200,17800,28,NVIDIA GeForce RTX 4060,8,True,True,19500,16,256,SSD,15.6,1920x1080,144,97.8,12.3,2.28,213900.0,2025
Zenbook 7X,HP,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,NVIDIA GeForce RTX 4080,12,True,True,29500,8,512,Hybrid,17.3,1920x1080,90,47.5,5.4,3.2,268200.0,2022
Pro 6S,HP,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,NVIDIA GeForce RTX 4080,12,True,True,29500,32,2048,SSD,14.0,1920x1080,165,49.6,4.2,1.75,297100.0,2024
Predator 8X,MSI,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,NVIDIA GeForce RTX 2050,4,True,True,9800,16,512,SSD,16.0,1366x768,165,67.8,8.3,3.24,184700.0,2023
ThinkPad 1,Dell,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,NVIDIA GeForce RTX 2050,4,True,True,9800,32,512,SSD,13.3,1920x1200,60,77.8,8.3,3.36,190300.0,2024
Legion 7S,Acer,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,NVIDIA GeForce RTX 3050,6,True,True,12500,8,256,Hybrid,16.0,1920x1200,144,86.4,9.0,3.37,173000.0,2022
Gram 10 Plus,Dell,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,Intel Iris Xe Graphics,0,False,False,3200,16,512,HDD,13.3,3840x2160,60,76.8,7.0,1.35,109700.0,2023
Inspiron 14S,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,16,1024,HDD,14.0,2880x1800,90,57.8,5.6,1.1,193400.0,2023
ThinkPad 3X,Samsung,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,NVIDIA GeForce RTX 4070,8,True,True,24800,16,2048,SSD,16.0,3840x2160,60,78.9,9.1,2.73,269400.0,2024
Inspiron 13 Plus,Acer,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 2050,4,True,True,9800,16,256,SSD,14.0,2560x1440,120,90.1,12.1,2.23,153600.0,2025
Katana 5 Plus,MSI,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,AMD Radeon Graphics (Integrated),0,False,False,3400,8,256,HDD,14.0,1920x1080,90,70.6,9.7,1.6,112500.0,2022
Katana 9X,LG,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 4050,6,True,True,15800,64,2048,SSD,17.3,2560x1440,165,93.5,9.7,1.72,243800.0,2024
Ideapad 5X,Acer,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 4070,8,True,True,24800,16,512,HDD,13.3,3840x2160,60,53.8,6.0,3.19,251400.0,2022
Pro 13 Plus,MSI,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,NVIDIA GeForce RTX 2050,4,True,True,9800,8,1024,HDD,15.6,2880x1800,90,64.5,7.8,2.24,161800.0,2024
ThinkPad 13X,Dell,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,NVIDIA GeForce RTX 3050,6,True,True,12500,32,1024,Hybrid,17.3,2880x1800,60,68.8,8.0,2.37,202900.0,2024
Air 9 Plus,Samsung,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,NVIDIA GeForce RTX 4080,12,True,True,29500,8,1024,Hybrid,17.3,3840x2160,60,45.0,4.7,3.13,266500.0,2023
Pavilion 3,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,32,1024,SSD,16.0,1920x1200,60,67.7,5.9,1.2,206200.0,2023
Nitro 12X,Dell,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 2050,4,True,True,9800,8,2048,SSD,14.0,1920x1080,60,67.9,8.8,3.3,164200.0,2024
Inspiron 3X,Microsoft,Apple M2,8,8,3.5,3.5,10500,21900,20,Intel UHD Graphics,0,False,False,2100,16,512,SSD,17.3,1366x768,60,74.0,5.9,1.85,135200.0,2025
Galaxy Book 4 Plus,HP,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,Intel UHD Graphics,0,False,False,2100,8,512,Hybrid,16.0,3840x2160,60,44.1,4.1,1.13,126000.0,2024
Nitro 11X,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,32,512,Hybrid,15.6,2880x1800,90,85.7,8.8,2.75,200800.0,2024
Inspiron 12S,HP,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,NVIDIA GeForce RTX 4070,8,True,True,24800,16,1024,Hybrid,17.3,3840x2160,90,59.8,6.0,2.05,258300.0,2024
Katana 1,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,16,256,SSD,16.0,2560x1440,90,84.7,7.6,2.39,196600.0,2024
Zenbook 15S,Acer,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 4060,8,True,True,19500,16,512,Hybrid,15.6,2560x1440,120,71.3,7.5,2.89,212900.0,2023
Galaxy Book 9S,Acer,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,NVIDIA GeForce RTX 2050,4,True,True,9800,8,512,SSD,13.3,3840x2160,120,96.1,8.6,1.78,165000.0,2025
Predator 5 Plus,HP,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 3050,6,True,True,12500,16,512,SSD,15.6,1366x768,144,71.5,8.3,3.35,176500.0,2024
Legion 16,HP,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,NVIDIA GeForce RTX 3050,6,True,True,12500,64,1024,HDD,15.6,1920x1080,60,54.9,4.5,1.63,176800.0,2022
Pavilion 13 Plus,Microsoft,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Intel Iris Xe Graphics,0,False,False,3200,16,512,Hybrid,15.6,1366x768,60,47.0,4.1,2.31,147000.0,2024
Inspiron 9,Samsung,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,NVIDIA GeForce RTX 4060,8,True,True,19500,16,2048,SSD,17.3,1366x768,120,96.6,12.7,2.93,239600.0,2025
Predator 15,Lenovo,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,AMD Radeon Graphics (Integrated),0,False,False,3400,8,512,SSD,16.0,2560x1440,90,75.0,8.6,1.56,124700.0,2025
Predator 10 Plus,Asus,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,NVIDIA GeForce RTX 2050,4,True,True,9800,32,256,Hybrid,14.0,3840x2160,60,93.6,7.8,1.54,168000.0,2023
Nitro 1,HP,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,NVIDIA GeForce RTX 3050,6,True,True,12500,32,512,Hybrid,17.3,2560x1440,90,44.7,6.2,2.26,192700.0,2023
Swift 16,Asus,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Intel Iris Xe Graphics,0,False,False,3200,16,2048,SSD,13.3,1920x1080,60,70.6,7.3,1.66,150400.0,2024
Air 15,Samsung,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,NVIDIA GeForce RTX 4060,8,True,True,19500,32,512,SSD,14.0,1920x1200,90,80.9,9.3,3.29,232000.0,2024
Galaxy Book 15,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,32,2048,SSD,13.3,3840x2160,90,67.3,9.2,2.14,207800.0,2024
Predator 1 Plus,Asus,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,NVIDIA GeForce RTX 4080,12,True,True,29500,16,512,HDD,16.0,1366x768,60,97.4,9.1,1.88,284900.0,2023
Pavilion 15X,HP,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,Intel UHD Graphics,0,False,False,2100,64,256,SSD,16.0,3840x2160,60,70.0,8.1,2.77,140800.0,2024
Galaxy Book 5 Plus,MSI,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 4080,12,True,True,29500,16,256,SSD,16.0,1920x1200,165,70.0,5.9,1.97,272400.0,2023
Legion 8 Plus,LG,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,NVIDIA GeForce RTX 4050,6,True,True,15800,32,2048,SSD,17.3,2560x1440,90,95.0,7.8,3.36,216600.0,2023
Ultra 15,Dell,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,NVIDIA GeForce RTX 4070,8,True,True,24800,32,1024,SSD,16.0,1366x768,60,69.6,6.6,3.14,270500.0,2024
Surface Laptop 13S,Lenovo,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,AMD Radeon Graphics (Integrated),0,False,False,3400,8,1024,SSD,15.6,2880x1800,90,63.5,8.5,1.76,116200.0,2025
Katana 6S,Samsung,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,Intel Iris Xe Graphics,0,False,False,3200,8,512,SSD,14.0,3840x2160,60,65.6,8.6,2.37,131800.0,2022
Vivobook 6,Dell,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,NVIDIA GeForce RTX 4050,6,True,True,15800,8,512,SSD,15.6,2560x1440,60,54.4,5.7,2.76,165300.0,2023
Predator 6,Microsoft,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,NVIDIA GeForce RTX 2050,4,True,True,9800,64,2048,SSD,14.0,1920x1080,90,77.6,8.0,2.73,186900.0,2024
Predator 10,Samsung,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,NVIDIA GeForce RTX 3050,6,True,True,12500,32,512,HDD,15.6,1920x1080,90,90.3,11.8,2.16,196600.0,2023
Nitro 5,MSI,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,Intel Iris Xe Graphics,0,False,False,3200,8,2048,SSD,16.0,1920x1200,60,75.8,8.3,2.37,139300.0,2024
Inspiron 5S,Dell,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,NVIDIA GeForce RTX 4070,8,True,True,24800,8,2048,SSD,15.6,3840x2160,60,45.3,5.2,2.89,262400.0,2023
Pavilion 13S,LG,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 3050,6,True,True,12500,16,512,HDD,15.6,3840x2160,165,60.0,7.8,3.33,186200.0,2023
Zenbook 4X,HP,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,Intel Iris Xe Graphics,0,False,False,3200,16,2048,SSD,13.3,2560x1440,60,79.7,7.2,2.27,114200.0,2025
Swift 4X,Samsung,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,NVIDIA GeForce RTX 4080,12,True,True,29500,32,2048,SSD,14.0,3840x2160,60,77.5,7.9,2.8,251700.0,2025
Surface Laptop 14X,Dell,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,NVIDIA GeForce RTX 3050,6,True,True,12500,64,256,SSD,14.0,2880x1800,60,62.9,6.8,3.3,165900.0,2025
Zenbook 4S,MSI,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Intel UHD Graphics,0,False,False,2100,64,2048,SSD,16.0,1920x1200,60,80.7,9.7,1.99,181300.0,2023
Pro 2S,LG,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,NVIDIA GeForce RTX 4050,6,True,True,15800,8,1024,SSD,14.0,1366x768,165,88.6,11.7,1.82,213300.0,2025
Pro 9X,Asus,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,NVIDIA GeForce RTX 2050,4,True,True,9800,8,2048,SSD,14.0,2880x1800,60,88.0,10.5,2.95,166200.0,2024
Nitro 2X,Lenovo,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 3050,6,True,True,12500,16,256,SSD,14.0,1366x768,60,86.6,10.3,2.05,181800.0,2023
Gram 10 Plus,MSI,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,Intel UHD Graphics,0,False,False,2100,8,1024,HDD,15.6,2880x1800,90,46.4,4.6,2.99,127100.0,2022
Ideapad 9S,Dell,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,NVIDIA GeForce RTX 4070,8,True,True,24800,32,1024,SSD,16.0,3840x2160,90,44.3,5.9,2.62,231700.0,2022
Inspiron 14 Plus,MSI,Apple M2,8,8,3.5,3.5,10500,21900,20,NVIDIA GeForce RTX 4080,12,True,True,29500,16,1024,Hybrid,17.3,2560x1440,60,86.8,11.3,2.71,280700.0,2024
Galaxy Book 3,Asus,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,NVIDIA GeForce RTX 4050,6,True,True,15800,64,1024,HDD,13.3,1920x1200,90,58.4,6.8,3.31,206600.0,2025
Zenbook 14,HP,Intel Core i5-1240P,12,16,1.7,4.4,8200,17800,28,NVIDIA GeForce RTX 4060,8,True,True,19500,8,512,SSD,17.3,1366x768,120,96.4,9.3,2.74,207800.0,2024
Zenbook 4S,Acer,Apple M2,8,8,3.5,3.5,10500,21900,20,NVIDIA GeForce RTX 3050,6,True,True,12500,32,256,Hybrid,17.3,1920x1080,60,78.7,9.4,1.62,194200.0,2024
Pro 6X,Microsoft,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 4060,8,True,True,19500,8,2048,SSD,15.6,1366x768,60,56.1,4.8,3.24,217400.0,2023
Predator 11,Microsoft,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,NVIDIA GeForce RTX 4060,8,True,True,19500,8,512,SSD,13.3,3840x2160,120,52.7,5.5,2.08,223500.0,2023
Ultra 12 Plus,Dell,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,AMD Radeon Graphics (Integrated),0,False,False,3400,8,256,SSD,16.0,3840x2160,60,68.7,7.1,1.65,124500.0,2024
Nitro 10S,HP,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,NVIDIA GeForce RTX 4070,8,True,True,24800,16,256,SSD,16.0,2880x1800,60,40.5,4.6,1.82,251700.0,2023
Slim 13,HP,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,NVIDIA GeForce RTX 4070,8,True,True,24800,32,512,SSD,16.0,2880x1800,144,53.6,5.2,2.74,226200.0,2023
ThinkPad 6 Plus,MSI,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,NVIDIA GeForce RTX 4070,8,True,True,24800,8,512,Hybrid,16.0,2880x1800,90,81.9,8.6,1.63,212800.0,2022
Vivobook 3,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,16,1024,Hybrid,16.0,2880x1800,60,63.4,7.2,1.78,198400.0,2023
Slim 6 Plus,LG,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 2050,4,True,True,9800,32,512,SSD,14.0,1366x768,60,55.1,6.9,1.71,181700.0,2025
Zenbook 3S,Samsung,Apple M2,8,8,3.5,3.5,10500,21900,20,NVIDIA GeForce RTX 4070,8,True,True,24800,32,512,SSD,16.0,1366x768,90,66.1,7.5,1.95,262300.0,2022
Air 15X,Samsung,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,Intel Iris Xe Graphics,0,False,False,3200,8,512,SSD,13.3,3840x2160,60,76.3,7.6,2.03,120000.0,2024
Katana 6S,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,8,1024,SSD,15.6,3840x2160,60,69.8,8.7,1.6,195000.0,2024
Predator 9X,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,32,2048,SSD,13.3,3840x2160,90,59.7,6.6,2.22,202200.0,2024
Gram 3 Plus,Apple,Apple M2,8,8,3.5,3.5,10500,21900,20,Apple M2 GPU (Integrated),0,False,False,11000,16,1024,SSD,17.3,3840x2160,60,58.3,6.3,2.68,183500.0,2023
Ultra 2S,LG,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,Intel Iris Xe Graphics,0,False,False,3200,32,512,SSD,14.0,1920x1200,60,51.3,3.9,1.41,139600.0,2023
Katana 10 Plus,Microsoft,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,NVIDIA GeForce RTX 4060,8,True,True,19500,16,512,SSD,17.3,1920x1080,144,65.8,7.0,2.75,216300.0,2023
Gram 14X,Asus,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 2050,4,True,True,9800,16,1024,SSD,15.6,3840x2160,120,98.1,10.0,1.96,178900.0,2024
Vivobook 9 Plus,Asus,Apple M2,8,8,3.5,3.5,10500,21900,20,AMD Radeon Graphics (Integrated),0,False,False,3400,16,256,HDD,15.6,2880x1800,60,82.0,8.1,1.35,129000.0,2022
Zenbook 8,LG,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,NVIDIA GeForce RTX 4060,8,True,True,19500,8,512,HDD,15.6,1366x768,90,43.1,4.3,1.87,208100.0,2022
Pro 9X,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,16,256,SSD,16.0,3840x2160,60,84.8,8.6,2.33,201300.0,2022
Slim 4 Plus,Lenovo,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 4080,12,True,True,29500,32,256,SSD,14.0,1920x1200,60,42.8,4.5,2.99,284400.0,2024
Slim 12,Microsoft,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,Intel Iris Xe Graphics,0,False,False,3200,16,512,SSD,16.0,1366x768,90,60.8,5.8,1.47,141800.0,2025
Zenbook 8 (2),LG,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 4080,12,True,True,29500,8,1024,HDD,13.3,3840x2160,90,97.9,11.5,1.43,267600.0,2022
Vivobook 5,Microsoft,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,AMD Radeon Graphics (Integrated),0,False,False,3400,8,512,Hybrid,15.6,3840x2160,60,89.0,8.0,3.06,134000.0,2024
Air 7S,Samsung,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,NVIDIA GeForce RTX 3050,6,True,True,12500,16,256,SSD,13.3,1920x1200,60,70.4,5.4,2.49,137600.0,2023
Galaxy Book 12S,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,8,512,HDD,16.0,3840x2160,60,92.8,10.0,3.05,189900.0,2024
Katana 14X,HP,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,Intel UHD Graphics,0,False,False,2100,32,2048,SSD,14.0,2880x1800,60,59.0,7.9,2.42,127100.0,2023
Legion 12X,Samsung,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,NVIDIA GeForce RTX 4070,8,True,True,24800,8,512,Hybrid,16.0,1920x1200,144,97.8,7.7,1.55,246600.0,2025
Katana 12S,Dell,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,NVIDIA GeForce RTX 4070,8,True,True,24800,8,512,SSD,14.0,3840x2160,60,61.4,4.8,1.46,238500.0,2023
Ultra 9S,Samsung,Intel Core i5-1240P,12,16,1.7,4.4,8200,17800,28,AMD Radeon Graphics (Integrated),0,False,False,3400,32,1024,SSD,15.6,1920x1080,60,41.5,5.1,2.14,134900.0,2024
ThinkPad 12,Samsung,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 3050,6,True,True,12500,64,512,SSD,14.0,1366x768,90,50.2,4.5,3.39,195600.0,2025
Pro 12S,LG,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 3050,6,True,True,12500,16,512,SSD,15.6,2880x1800,60,47.2,5.8,1.68,183300.0,2024
Slim 5S,Samsung,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,AMD Radeon Graphics (Integrated),0,False,False,3400,8,256,SSD,16.0,3840x2160,90,68.2,7.2,1.92,134300.0,2024
Ultra 5S,HP,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,NVIDIA GeForce RTX 4070,8,True,True,24800,32,512,Hybrid,17.3,1920x1080,165,97.0,10.1,3.22,259500.0,2022
Predator 3X,Lenovo,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,NVIDIA GeForce RTX 4050,6,True,True,15800,16,512,Hybrid,15.6,1366x768,60,51.6,4.1,1.95,194600.0,2025
Nitro 7 Plus,Microsoft,Apple M2,8,8,3.5,3.5,10500,21900,20,AMD Radeon Graphics (Integrated),0,False,False,3400,16,2048,SSD,17.3,1920x1200,90,42.4,3.5,1.26,148700.0,2025
Katana 3,Microsoft,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Intel Iris Xe Graphics,0,False,False,3200,64,2048,SSD,15.6,3840x2160,60,68.5,5.8,2.47,190800.0,2023
Legion 5S,Lenovo,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,NVIDIA GeForce RTX 4060,8,True,True,19500,64,1024,SSD,15.6,2880x1800,60,58.4,5.2,2.87,250000.0,2023
Swift 8X,LG,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,Intel UHD Graphics,0,False,False,2100,32,512,HDD,13.3,1920x1200,60,54.6,7.2,1.68,128800.0,2024
Pavilion 7S,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,16,1024,Hybrid,16.0,2560x1440,60,69.3,9.2,1.89,197400.0,2024
